Year,LocationAbbr,LocationDesc,GeographicLevel,DataSource,Class,Topic,Data_Value,Data_Value_Unit,Data_Value_Type,Data_Value_Footnote_Symbol,Data_Value_Footnote,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,TopicID,LocationID,Location 1
2014,ID,Idaho,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,109.3,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Gender,female,Race/Ethnicity,Hispanic,T2,16,"(44.3858, -114.661)"
2014,KY,Kentucky,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,109.9,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Gender,female,Race/Ethnicity,Asian and Pacific Islander,T2,21,"(37.5266, -85.29)"
2014,FL,Florida,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,110.3,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Gender,female,Race/Ethnicity,American Indian and Alaskan Native,T2,12,"(28.6588, -82.497)"
2014,MN,Minnesota,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,110.6,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Gender,all,Race/Ethnicity,Hispanic,T2,27,"(46.3159, -94.3068)"
2014,NE,Nebraska,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,110.7,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Gender,female,Race/Ethnicity,Hispanic,T2,31,"(41.5228, -99.8085)"
2014,MN,Minnesota,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,110.9,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Gender,female,Race/Ethnicity,Asian and Pacific Islander,T2,27,"(46.3159, -94.3068)"
2014,NE,Nebraska,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,110.9,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Gender,all,Race/Ethnicity,Asian and Pacific Islander,T2,31,"(41.5228, -99.8085)"
2014,MD,Maryland,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,111,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Gender,female,Race/Ethnicity,Asian and Pacific Islander,T2,24,"(39.0648, -76.82)"
2014,OR,Oregon,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,111,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Gender,female,Race/Ethnicity,Asian and Pacific Islander,T2,41,"(43.9313, -120.554)"
2014,VA,Virginia,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,112.1,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Gender,female,Race/Ethnicity,Asian and Pacific Islander,T2,51,"(37.5188, -78.8507)"
2014,TX,Texas,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,112.7,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Gender,all,Race/Ethnicity,American Indian and Alaskan Native,T2,48,"(31.4906, -99.3517)"
2014,SD,South Dakota,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,113,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Gender,all,Race/Ethnicity,Hispanic,T2,46,"(44.4332, -100.236)"
2014,PA,Pennsylvania,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,113.2,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Gender,all,Race/Ethnicity,American Indian and Alaskan Native,T2,42,"(40.8749, -77.8022)"
2014,AZ,Arizona,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,113.3,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Gender,female,Race/Ethnicity,Asian and Pacific Islander,T2,4,"(34.2921, -111.664)"
2014,OH,Ohio,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,113.7,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Gender,female,Race/Ethnicity,Asian and Pacific Islander,T2,39,"(40.2882, -82.7866)"
2014,NH,New Hampshire,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,113.9,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Gender,all,Race/Ethnicity,Asian and Pacific Islander,T2,33,"(43.6834, -71.5794)"
2014,FL,Florida,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,114,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Gender,female,Race/Ethnicity,Asian and Pacific Islander,T2,12,"(28.6588, -82.497)"
2014,IN,Indiana,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,114.1,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Gender,female,Race/Ethnicity,Asian and Pacific Islander,T2,18,"(39.9128, -86.2757)"
2014,CO,Colorado,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,115.3,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Gender,female,Race/Ethnicity,Asian and Pacific Islander,T2,8,"(38.997, -105.549)"
2014,WA,Washington,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,115.5,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Gender,female,Race/Ethnicity,Asian and Pacific Islander,T2,53,"(47.378, -120.428)"
2014,GA,Georgia,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,115.9,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Gender,all,Race/Ethnicity,Hispanic,T2,13,"(32.6549, -83.4547)"
2014,OR,Oregon,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,116.9,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Gender,female,Race/Ethnicity,Hispanic,T2,41,"(43.9313, -120.554)"
2014,MA,Massachusetts,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,117.3,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Gender,all,Race/Ethnicity,Asian and Pacific Islander,T2,25,"(42.2573, -71.8024)"
2014,KS,Kansas,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,117.6,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Gender,female,Race/Ethnicity,Asian and Pacific Islander,T2,20,"(38.4828, -98.384)"
2014,CT,Connecticut,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,118,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Gender,female,Race/Ethnicity,Asian and Pacific Islander,T2,9,"(41.6179, -72.7254)"
2014,NJ,New Jersey,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,118,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Gender,female,Race/Ethnicity,Asian and Pacific Islander,T2,34,"(40.1987, -74.6768)"
2014,WA,Washington,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,118.7,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Gender,female,Race/Ethnicity,Hispanic,T2,53,"(47.378, -120.428)"
2014,IA,Iowa,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,120.1,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Gender,all,Race/Ethnicity,Hispanic,T2,19,"(42.076, -93.5022)"
2014,AK,Alaska,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,120.2,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Gender,all,Race/Ethnicity,Hispanic,T2,2,"(64.3173, -152.571)"
2014,VA,Virginia,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,120.5,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Gender,male,Race/Ethnicity,American Indian and Alaskan Native,T2,51,"(37.5188, -78.8507)"
2014,AL,Alabama,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,121.1,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Gender,female,Race/Ethnicity,American Indian and Alaskan Native,T2,1,"(32.7949, -86.8267)"
2014,DE,Delaware,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,121.6,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Gender,female,Race/Ethnicity,Asian and Pacific Islander,T2,10,"(38.9952, -75.5014)"
2014,OH,Ohio,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,122,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Gender,male,Race/Ethnicity,American Indian and Alaskan Native,T2,39,"(40.2882, -82.7866)"
2014,MD,Maryland,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,122.2,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Gender,all,Race/Ethnicity,Hispanic,T2,24,"(39.0648, -76.82)"
2014,LA,Louisiana,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,122.5,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Gender,female,Race/Ethnicity,Hispanic,T2,22,"(31.0964, -92.0302)"
2014,NM,New Mexico,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,122.6,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Gender,female,Race/Ethnicity,Asian and Pacific Islander,T2,35,"(34.4228, -106.102)"
2014,WI,Wisconsin,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,123.1,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Gender,female,Race/Ethnicity,Hispanic,T2,55,"(44.6333, -90.0068)"
2014,NC,North Carolina,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,124,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Gender,male,Race/Ethnicity,Hispanic,T2,37,"(35.5475, -79.4019)"
2014,MA,Massachusetts,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,126.5,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Gender,female,Race/Ethnicity,Hispanic,T2,25,"(42.2573, -71.8024)"
2014,TN,Tennessee,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,126.6,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Gender,all,Race/Ethnicity,American Indian and Alaskan Native,T2,47,"(35.8465, -86.3351)"
2014,TX,Texas,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,126.9,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Gender,male,Race/Ethnicity,American Indian and Alaskan Native,T2,48,"(31.4906, -99.3517)"
2014,SC,South Carolina,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,127.3,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Gender,female,Race/Ethnicity,Hispanic,T2,45,"(33.9187, -80.9014)"
2014,IL,Illinois,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,128.8,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Gender,female,Race/Ethnicity,Asian and Pacific Islander,T2,17,"(40.0644, -89.2034)"
2014,TX,Texas,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,128.9,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Gender,female,Race/Ethnicity,Asian and Pacific Islander,T2,48,"(31.4906, -99.3517)"
2014,MO,Missouri,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,129.3,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Gender,female,Race/Ethnicity,Hispanic,T2,29,"(38.3641, -92.4798)"
2014,DC,District of Columbia,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,129.9,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Gender,female,Race/Ethnicity,Hispanic,T2,11,"(38.9005, -77.0159)"
2014,OH,Ohio,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,129.9,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Gender,female,Race/Ethnicity,American Indian and Alaskan Native,T2,39,"(40.2882, -82.7866)"
2014,VA,Virginia,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,130.1,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Gender,all,Race/Ethnicity,Hispanic,T2,51,"(37.5188, -78.8507)"
2014,MN,Minnesota,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,130.2,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Gender,all,Race/Ethnicity,Asian and Pacific Islander,T2,27,"(46.3159, -94.3068)"
2014,IA,Iowa,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,130.6,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Gender,female,Race/Ethnicity,Asian and Pacific Islander,T2,19,"(42.076, -93.5022)"
2014,OH,Ohio,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,130.6,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Gender,all,Race/Ethnicity,American Indian and Alaskan Native,T2,39,"(40.2882, -82.7866)"
2014,AL,Alabama,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,130.9,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Gender,female,Race/Ethnicity,Hispanic,T2,1,"(32.7949, -86.8267)"
2014,TN,Tennessee,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,131,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Gender,all,Race/Ethnicity,Hispanic,T2,47,"(35.8465, -86.3351)"
2014,SC,South Carolina,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,131.1,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Gender,all,Race/Ethnicity,Asian and Pacific Islander,T2,45,"(33.9187, -80.9014)"
2014,LA,Louisiana,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,131.4,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Gender,female,Race/Ethnicity,American Indian and Alaskan Native,T2,22,"(31.0964, -92.0302)"
2014,KY,Kentucky,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,131.5,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Gender,male,Race/Ethnicity,Hispanic,T2,21,"(37.5266, -85.29)"
2014,MO,Missouri,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,131.7,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Gender,female,Race/Ethnicity,Asian and Pacific Islander,T2,29,"(38.3641, -92.4798)"
2014,NC,North Carolina,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,131.9,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Gender,all,Race/Ethnicity,Asian and Pacific Islander,T2,37,"(35.5475, -79.4019)"
2014,VA,Virginia,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,132.3,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Gender,female,Race/Ethnicity,American Indian and Alaskan Native,T2,51,"(37.5188, -78.8507)"
2014,VA,Virginia,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,132.5,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Gender,all,Race/Ethnicity,American Indian and Alaskan Native,T2,51,"(37.5188, -78.8507)"
2014,DE,Delaware,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,132.9,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Gender,all,Race/Ethnicity,Hispanic,T2,10,"(38.9952, -75.5014)"
2014,MO,Missouri,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,133.1,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Gender,female,Race/Ethnicity,American Indian and Alaskan Native,T2,29,"(38.3641, -92.4798)"
2014,SC,South Carolina,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,134.4,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Gender,all,Race/Ethnicity,Hispanic,T2,45,"(33.9187, -80.9014)"
2014,PA,Pennsylvania,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,134.5,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Gender,female,Race/Ethnicity,Asian and Pacific Islander,T2,42,"(40.8749, -77.8022)"
2014,KS,Kansas,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,135,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Gender,all,Race/Ethnicity,Asian and Pacific Islander,T2,20,"(38.4828, -98.384)"
2014,SC,South Carolina,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,135.4,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Gender,male,Race/Ethnicity,Hispanic,T2,45,"(33.9187, -80.9014)"
2014,CA,California,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,135.9,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Gender,female,Race/Ethnicity,Asian and Pacific Islander,T2,6,"(37.2414, -119.601)"
2014,KS,Kansas,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,136.2,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Gender,female,Race/Ethnicity,Hispanic,T2,20,"(38.4828, -98.384)"
2014,VA,Virginia,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,136.6,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Gender,all,Race/Ethnicity,Asian and Pacific Islander,T2,51,"(37.5188, -78.8507)"
2014,MD,Maryland,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,137.7,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Gender,all,Race/Ethnicity,Asian and Pacific Islander,T2,24,"(39.0648, -76.82)"
2014,AR,Arkansas,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,137.9,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Gender,all,Race/Ethnicity,Hispanic,T2,5,"(34.8982, -92.434)"
2014,FL,Florida,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,138.1,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Gender,all,Race/Ethnicity,American Indian and Alaskan Native,T2,12,"(28.6588, -82.497)"
2014,AZ,Arizona,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,138.6,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Gender,all,Race/Ethnicity,Asian and Pacific Islander,T2,4,"(34.2921, -111.664)"
2014,GA,Georgia,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,140,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Gender,female,Race/Ethnicity,Asian and Pacific Islander,T2,13,"(32.6549, -83.4547)"
2014,MD,Maryland,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,141.2,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Gender,all,Race/Ethnicity,American Indian and Alaskan Native,T2,24,"(39.0648, -76.82)"
2014,MI,Michigan,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,141.8,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Gender,female,Race/Ethnicity,Asian and Pacific Islander,T2,26,"(44.3371, -85.4387)"
2014,NM,New Mexico,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,141.8,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Gender,all,Race/Ethnicity,Asian and Pacific Islander,T2,35,"(34.4228, -106.102)"
2014,IN,Indiana,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,142,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Gender,female,Race/Ethnicity,Hispanic,T2,18,"(39.9128, -86.2757)"
2014,MA,Massachusetts,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,143.1,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Gender,all,Race/Ethnicity,Hispanic,T2,25,"(42.2573, -71.8024)"
2014,ID,Idaho,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,143.4,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Gender,female,Race/Ethnicity,Asian and Pacific Islander,T2,16,"(44.3858, -114.661)"
2014,DE,Delaware,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,143.7,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Gender,all,Race/Ethnicity,Asian and Pacific Islander,T2,10,"(38.9952, -75.5014)"
2014,OH,Ohio,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,143.7,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Gender,female,Race/Ethnicity,Hispanic,T2,39,"(40.2882, -82.7866)"
2014,IN,Indiana,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,144,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Gender,all,Race/Ethnicity,Asian and Pacific Islander,T2,18,"(39.9128, -86.2757)"
2014,CT,Connecticut,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,144.1,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Gender,all,Race/Ethnicity,Asian and Pacific Islander,T2,9,"(41.6179, -72.7254)"
2014,AK,Alaska,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,144.5,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Gender,female,Race/Ethnicity,Asian and Pacific Islander,T2,2,"(64.3173, -152.571)"
2014,CO,Colorado,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,144.7,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Gender,all,Race/Ethnicity,Asian and Pacific Islander,T2,8,"(38.997, -105.549)"
2014,IL,Illinois,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,145.1,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Gender,female,Race/Ethnicity,Hispanic,T2,17,"(40.0644, -89.2034)"
